YEAR,MARKS_SCORED,CATEGORY,GENDER,PWD_STATUS,EXPECTED_GENERAL_RANK_MIN,EXPECTED_GENERAL_RANK_MAX,EXPECTED_CATEGORY_RANK_MIN,EXPECTED_CATEGORY_RANK_MAX
2025,17,GENERAL,M,No,0,0,0,0
2025,17,GENERAL,M,Yes,0,0,0,0
2025,17,GENERAL,F,No,0,0,0,0
2025,17,GENERAL,F,Yes,0,0,0,0
2025,17,EWS,M,No,0,0,0,0
2025,17,EWS,M,Yes,0,0,0,0
2025,17,EWS,F,No,0,0,0,0
2025,17,EWS,F,Yes,0,0,0,0
2025,17,OBC-NCL,M,No,0,0,0,0
2025,17,OBC-NCL,M,Yes,0,0,0,0
2025,17,OBC-NCL,F,No,0,0,0,0
2025,17,OBC-NCL,F,Yes,0,0,0,0
2025,17,SC,M,No,0,0,0,0
2025,17,SC,M,Yes,0,0,0,0
2025,17,SC,F,No,0,0,0,0
2025,17,SC,F,Yes,0,0,0,0
2025,17,ST,M,No,0,0,0,0
2025,17,ST,M,Yes,0,0,0,0
2025,17,ST,F,No,0,0,0,0
2025,17,ST,F,Yes,0,0,0,0
2025,18,GENERAL,M,No,0,0,0,0
2025,18,GENERAL,M,Yes,0,0,0,0
2025,18,GENERAL,F,No,0,0,0,0
2025,18,GENERAL,F,Yes,0,0,0,0
2025,18,EWS,M,No,0,0,0,0
2025,18,EWS,M,Yes,0,0,0,0
2025,18,EWS,F,No,0,0,0,0
2025,18,EWS,F,Yes,0,0,0,0
2025,18,OBC-NCL,M,No,0,0,0,0
2025,18,OBC-NCL,M,Yes,0,0,0,0
2025,18,OBC-NCL,F,No,0,0,0,0
2025,18,OBC-NCL,F,Yes,0,0,0,0
2025,18,SC,M,No,0,0,0,0
2025,18,SC,M,Yes,0,0,0,0
2025,18,SC,F,No,0,0,0,0
2025,18,SC,F,Yes,0,0,0,0
2025,18,ST,M,No,0,0,0,0
2025,18,ST,M,Yes,0,0,0,0
2025,18,ST,F,No,0,0,0,0
2025,18,ST,F,Yes,0,0,0,0
2025,19,GENERAL,M,No,0,0,0,0
2025,19,GENERAL,M,Yes,0,0,0,0
