YEAR,MARKS_SCORED,CATEGORY,GENDER,PWD_STATUS,EXPECTED_GENERAL_RANK_MIN,EXPECTED_GENERAL_RANK_MAX,EXPECTED_CATEGORY_RANK_MIN,EXPECTED_CATEGORY_RANK_MAX
2025,-20,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-20,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-20,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-20,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-20,EWS,M,No,1259850,1260150,359950,360050
2025,-20,EWS,M,Yes,1259850,1260150,17950,18050
2025,-20,EWS,F,No,1259850,1260150,341952,342047
2025,-20,EWS,F,Yes,1259850,1260150,17052,17147
2025,-20,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-20,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-20,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-20,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-20,SC,M,No,1259850,1260150,139950,140050
2025,-20,SC,M,Yes,1259850,1260150,6950,7050
2025,-20,SC,F,No,1259850,1260150,132952,133047
2025,-20,SC,F,Yes,1259850,1260150,6602,6697
2025,-20,ST,M,No,1259850,1260150,83950,84050
2025,-20,ST,M,Yes,1259850,1260150,4150,4250
2025,-20,ST,F,No,1259850,1260150,79752,79847
2025,-20,ST,F,Yes,1259850,1260150,3942,4037
2025,-19,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-19,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-19,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-19,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-19,EWS,M,No,1259850,1260150,359950,360050
2025,-19,EWS,M,Yes,1259850,1260150,17950,18050
2025,-19,EWS,F,No,1259850,1260150,341952,342047
2025,-19,EWS,F,Yes,1259850,1260150,17052,17147
2025,-19,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-19,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-19,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-19,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-19,SC,M,No,1259850,1260150,139950,140050
2025,-19,SC,M,Yes,1259850,1260150,6950,7050
2025,-19,SC,F,No,1259850,1260150,132952,133047
2025,-19,SC,F,Yes,1259850,1260150,6602,6697
2025,-19,ST,M,No,1259850,1260150,83950,84050
