YEAR,SESSION,SHIFT,MARKS_SCORED,DIFFICULTY_FACTOR,EXPECTED_PERCENTILE
2025,January,1,-20,0.9814,7.2612
2025,January,1,-19,0.9814,7.4126
2025,January,1,-18,0.9814,7.558
2025,January,1,-17,0.9814,7.7115
2025,January,1,-16,0.9814,7.8732
2025,January,1,-15,0.9814,8.0328
2025,January,1,-14,0.9814,8.1905
2025,January,1,-13,0.9814,8.3614
2025,January,1,-12,0.9814,8.5264
2025,January,1,-11,0.9814,8.7017
2025,January,1,-10,0.9814,8.8777
2025,January,1,-9,0.9814,9.0468
2025,January,1,-8,0.9814,9.2317
2025,January,1,-7,0.9814,9.4191
2025,January,1,-6,0.9814,9.6047
2025,January,1,-5,0.9814,9.7945
2025,January,1,-4,0.9814,9.9946
2025,January,1,-3,0.9814,10.1833
2025,January,1,-2,0.9814,10.3875
2025,January,1,-1,0.9814,10.591
2025,January,1,0,0.9814,10.8001
2025,January,1,1,0.9814,11.0113
2025,January,1,2,0.9814,11.2334
2025,January,1,3,0.9814,11.4474
2025,January,1,4,0.9814,11.6703
2025,January,1,5,0.9814,11.894
2025,January,1,6,0.9814,12.1274
2025,January,1,7,0.9814,12.3641
2025,January,1,8,0.9814,12.6065
2025,January,1,9,0.9814,12.8485
2025,January,1,10,0.9814,13.0922
2025,January,1,11,0.9814,13.3435
2025,January,1,12,0.9814,13.5951
2025,January,1,13,0.9814,13.8524
2025,January,1,14,0.9814,14.1134
2025,January,1,15,0.9814,14.3822
2025,January,1,16,0.9814,14.655
2025,January,1,17,0.9814,14.9217
2025,January,1,18,0.9814,15.2034
2025,January,1,19,0.9814,15.491
2025,January,1,20,0.9814,15.7734
2025,January,1,21,0.9814,16.0669
2025,January,1,22,0.9814,16.3659
2025,January,1,23,0.9814,16.6629
2025,January,1,24,0.9814,16.9714
2025,January,1,25,0.9814,17.2824
2025,January,1,26,0.9814,17.5952
2025,January,1,27,0.9814,17.912
2025,January,1,28,0.9814,18.238
2025,January,1,29,0.9814,18.5636
2025,January,1,30,0.9814,18.8919
2025,January,1,31,0.9814,19.2273
2025,January,1,32,0.9814,19.5695
2025,January,1,33,0.9814,19.9164
2025,January,1,34,0.9814,20.264
2025,January,1,35,0.9814,20.6248
2025,January,1,36,0.9814,20.9773
2025,January,1,37,0.9814,21.3464
2025,January,1,38,0.9814,21.7114
2025,January,1,39,0.9814,22.0865
2025,January,1,40,0.9814,22.4626
2025,January,1,41,0.9814,22.844
2025,January,1,42,0.9814,23.2288
2025,January,1,43,0.9814,23.6251
2025,January,1,44,0.9814,24.0166
2025,January,1,45,0.9814,24.4256
2025,January,1,46,0.9814,24.8255
2025,January,1,47,0.9814,25.2371
2025,January,1,48,0.9814,25.6528
2025,January,1,49,0.9814,26.0708
2025,January,1,50,0.9814,26.4911
2025,January,1,51,0.9814,26.9116
2025,January,1,52,0.9814,27.3434
2025,January,1,53,0.9814,27.7859
2025,January,1,54,0.9814,28.2272
2025,January,1,55,0.9814,28.664
2025,January,1,56,0.9814,29.1162
2025,January,1,57,0.9814,29.5666
2025,January,1,58,0.9814,30.0273
2025,January,1,59,0.9814,30.4806
2025,January,1,60,0.9814,30.9485
2025,January,1,61,0.9814,31.4114
2025,January,1,62,0.9814,31.8854
2025,January,1,63,0.9814,32.3576
2025,January,1,64,0.9814,32.8435
2025,January,1,65,0.9814,33.3265
2025,January,1,66,0.9814,33.8079
2025,January,1,67,0.9814,34.2966
2025,January,1,68,0.9814,34.7957
2025,January,1,69,0.9814,35.2889
2025,January,1,70,0.9814,35.7926
2025,January,1,71,0.9814,36.2934
2025,January,1,72,0.9814,36.8007
2025,January,1,73,0.9814,37.3107
2025,January,1,74,0.9814,37.8189
2025,January,1,75,0.9814,38.3289
2025,January,1,76,0.9814,38.8456
2025,January,1,77,0.9814,39.3678
2025,January,1,78,0.9814,39.8873
2025,January,1,79,0.9814,40.4172
2025,January,1,80,0.9814,40.9448
2025,January,1,81,0.9814,41.4665
2025,January,1,82,0.9814,41.9957
2025,January,1,83,0.9814,42.5258
2025,January,1,84,0.9814,43.0658
2025,January,1,85,0.9814,43.6046
2025,January,1,86,0.9814,44.1338
2025,January,1,87,0.9814,44.6716
2025,January,1,88,0.9814,45.2191
2025,January,1,89,0.9814,45.7553
2025,January,1,90,0.9814,46.2951
2025,January,1,91,0.9814,46.8444
2025,January,1,92,0.9814,47.3833
2025,January,1,93,0.9814,47.9297
2025,January,1,94,0.9814,48.4735
2025,January,1,95,0.9814,49.017
2025,January,1,96,0.9814,49.5653
2025,January,1,97,0.9814,50.1031
2025,January,1,98,0.9814,50.6564
2025,January,1,99,0.9814,51.1926
2025,January,1,100,0.9814,51.7404
2025,January,1,101,0.9814,52.2856
2025,January,1,102,0.9814,52.8347
2025,January,1,103,0.9814,53.3736
2025,January,1,104,0.9814,53.9119
2025,January,1,105,0.9814,54.4531
2025,January,1,106,0.9814,54.999
2025,January,1,107,0.9814,55.5391
2025,January,1,108,0.9814,56.0703
2025,January,1,109,0.9814,56.6121
2025,January,1,110,0.9814,57.1495
2025,January,1,111,0.9814,57.6816
2025,January,1,112,0.9814,58.2139
2025,January,1,113,0.9814,58.7434
2025,January,1,114,0.9814,59.2723
2025,January,1,115,0.9814,59.7925
2025,January,1,116,0.9814,60.314
2025,January,1,117,0.9814,60.833
2025,January,1,118,0.9814,61.3574
2025,January,1,119,0.9814,61.8685
2025,January,1,120,0.9814,62.3835
2025,January,1,121,0.9814,62.8964
2025,January,1,122,0.9814,63.3976
2025,January,1,123,0.9814,63.9053
2025,January,1,124,0.9814,64.4035
2025,January,1,125,0.9814,64.9042
2025,January,1,126,0.9814,65.3988
2025,January,1,127,0.9814,65.8945
2025,January,1,128,0.9814,66.382
2025,January,1,129,0.9814,66.8695
2025,January,1,130,0.9814,67.3464
2025,January,1,131,0.9814,67.8298
2025,January,1,132,0.9814,68.3007
2025,January,1,133,0.9814,68.7732
2025,January,1,134,0.9814,69.2374
2025,January,1,135,0.9814,69.698
2025,January,1,136,0.9814,70.1559
2025,January,1,137,0.9814,70.6125
2025,January,1,138,0.9814,71.0675
2025,January,1,139,0.9814,71.5116
2025,January,1,140,0.9814,71.9496
2025,January,1,141,0.9814,72.3918
2025,January,1,142,0.9814,72.8189
2025,January,1,143,0.9814,73.255
2025,January,1,144,0.9814,73.6771
2025,January,1,145,0.9814,74.1027
2025,January,1,146,0.9814,74.5189
2025,January,1,147,0.9814,74.9257
2025,January,1,148,0.9814,75.337
2025,January,1,149,0.9814,75.7418
2025,January,1,150,0.9814,76.1395
2025,January,1,151,0.9814,76.5278
2025,January,1,152,0.9814,76.9204
2025,January,1,153,0.9814,77.3029
2025,January,1,154,0.9814,77.6805
2025,January,1,155,0.9814,78.0605
2025,January,1,156,0.9814,78.4329
2025,January,1,157,0.9814,78.7955
2025,January,1,158,0.9814,79.163
2025,January,1,159,0.9814,79.5188
2025,January,1,160,0.9814,79.8658
2025,January,1,161,0.9814,80.2205
2025,January,1,162,0.9814,80.5616
2025,January,1,163,0.9814,80.8982
2025,January,1,164,0.9814,81.235
2025,January,1,165,0.9814,81.5658
2025,January,1,166,0.9814,81.8935
2025,January,1,167,0.9814,82.2088
2025,January,1,168,0.9814,82.527
2025,January,1,169,0.9814,82.8472
2025,January,1,170,0.9814,83.1501
2025,January,1,171,0.9814,83.4524
2025,January,1,172,0.9814,83.7476
2025,January,1,173,0.9814,84.0454
2025,January,1,174,0.9814,84.3406
2025,January,1,175,0.9814,84.625
2025,January,1,176,0.9814,84.9045
2025,January,1,177,0.9814,85.1835
2025,January,1,178,0.9814,85.4519
2025,January,1,179,0.9814,85.7224
2025,January,1,180,0.9814,85.9922
2025,January,1,181,0.9814,86.2476
2025,January,1,182,0.9814,86.5025
2025,January,1,183,0.9814,86.7609
2025,January,1,184,0.9814,87.0072
2025,January,1,185,0.9814,87.2507
2025,January,1,186,0.9814,87.4936
2025,January,1,187,0.9814,87.7249
2025,January,1,188,0.9814,87.9618
2025,January,1,189,0.9814,88.1862
2025,January,1,190,0.9814,88.4114
2025,January,1,191,0.9814,88.6358
2025,January,1,192,0.9814,88.8517
2025,January,1,193,0.9814,89.0648
2025,January,1,194,0.9814,89.2815
2025,January,1,195,0.9814,89.4827
2025,January,1,196,0.9814,89.6885
2025,January,1,197,0.9814,89.8931
2025,January,1,198,0.9814,90.0854
2025,January,1,199,0.9814,90.2769
2025,January,1,200,0.9814,90.4695
2025,January,1,201,0.9814,90.6597
2025,January,1,202,0.9814,90.8349
2025,January,1,203,0.9814,91.0184
2025,January,1,204,0.9814,91.2005
2025,January,1,205,0.9814,91.3739
2025,January,1,206,0.9814,91.5382
2025,January,1,207,0.9814,91.7061
2025,January,1,208,0.9814,91.8753
2025,January,1,209,0.9814,92.0377
2025,January,1,210,0.9814,92.1916
2025,January,1,211,0.9814,92.3468
2025,January,1,212,0.9814,92.5031
2025,January,1,213,0.9814,92.647
2025,January,1,214,0.9814,92.7958
2025,January,1,215,0.9814,92.9415
2025,January,1,216,0.9814,93.0839
2025,January,1,217,0.9814,93.2181
2025,January,1,218,0.9814,93.3553
2025,January,1,219,0.9814,93.496
2025,January,1,220,0.9814,93.6223
2025,January,1,221,0.9814,93.7521
2025,January,1,222,0.9814,93.8818
2025,January,1,223,0.9814,94.0054
2025,January,1,224,0.9814,94.1236
2025,January,1,225,0.9814,94.2407
2025,January,1,226,0.9814,94.3618
2025,January,1,227,0.9814,94.4777
2025,January,1,228,0.9814,94.5874
2025,January,1,229,0.9814,94.7046
2025,January,1,230,0.9814,94.8132
2025,January,1,231,0.9814,94.9172
2025,January,1,232,0.9814,95.0209
2025,January,1,233,0.9814,95.1167
2025,January,1,234,0.9814,95.2192
2025,January,1,235,0.9814,95.3241
2025,January,1,236,0.9814,95.4109
2025,January,1,237,0.9814,95.51
2025,January,1,238,0.9814,95.6058
2025,January,1,239,0.9814,95.6983
2025,January,1,240,0.9814,95.7807
2025,January,1,241,0.9814,95.866
2025,January,1,242,0.9814,95.9508
2025,January,1,243,0.9814,96.0382
2025,January,1,244,0.9814,96.1174
2025,January,1,245,0.9814,96.1991
2025,January,1,246,0.9814,96.2789
2025,January,1,247,0.9814,96.3548
2025,January,1,248,0.9814,96.436
2025,January,1,249,0.9814,96.507
2025,January,1,250,0.9814,96.5846
2025,January,1,251,0.9814,96.6516
2025,January,1,252,0.9814,96.7235
2025,January,1,253,0.9814,96.7864
2025,January,1,254,0.9814,96.8613
2025,January,1,255,0.9814,96.9198
2025,January,1,256,0.9814,96.9832
2025,January,1,257,0.9814,97.0472
2025,January,1,258,0.9814,97.1135
2025,January,1,259,0.9814,97.1721
2025,January,1,260,0.9814,97.2276
2025,January,1,261,0.9814,97.2879
2025,January,1,262,0.9814,97.3518
2025,January,1,263,0.9814,97.407
2025,January,1,264,0.9814,97.4592
2025,January,1,265,0.9814,97.5076
2025,January,1,266,0.9814,97.5607
2025,January,1,267,0.9814,97.6115
2025,January,1,268,0.9814,97.6612
2025,January,1,269,0.9814,97.7143
2025,January,1,270,0.9814,97.7643
2025,January,1,271,0.9814,97.8125
2025,January,1,272,0.9814,97.8539
2025,January,1,273,0.9814,97.8971
2025,January,1,274,0.9814,97.9448
2025,January,1,275,0.9814,97.9905
2025,January,1,276,0.9814,98.0327
2025,January,1,277,0.9814,98.0744
2025,January,1,278,0.9814,98.1092
2025,January,1,279,0.9814,98.1504
2025,January,1,280,0.9814,98.195
2025,January,1,281,0.9814,98.2276
2025,January,1,282,0.9814,98.2668
2025,January,1,283,0.9814,98.3004
2025,January,1,284,0.9814,98.3427
2025,January,1,285,0.9814,98.3786
2025,January,1,286,0.9814,98.4124
2025,January,1,287,0.9814,98.4455
2025,January,1,288,0.9814,98.4736
2025,January,1,289,0.9814,98.5143
2025,January,1,290,0.9814,98.5395
2025,January,1,291,0.9814,98.577
2025,January,1,292,0.9814,98.6067
2025,January,1,293,0.9814,98.6287
2025,January,1,294,0.9814,98.6597
2025,January,1,295,0.9814,98.6858
2025,January,1,296,0.9814,98.7162
2025,January,1,297,0.9814,98.7453
2025,January,1,298,0.9814,98.7751
2025,January,1,299,0.9814,98.8025
2025,January,1,300,0.9814,98.8201
2025,January,2,-20,0.9783,7.2746
2025,January,2,-19,0.9783,7.4223
2025,January,2,-18,0.9783,7.564
2025,January,2,-17,0.9783,7.7259
2025,January,2,-16,0.9783,7.8812
2025,January,2,-15,0.9783,8.0427
2025,January,2,-14,0.9783,8.1977
2025,January,2,-13,0.9783,8.3637
2025,January,2,-12,0.9783,8.5314
2025,January,2,-11,0.9783,8.7034
2025,January,2,-10,0.9783,8.8827
2025,January,2,-9,0.9783,9.0554
2025,January,2,-8,0.9783,9.236
2025,January,2,-7,0.9783,9.419
2025,January,2,-6,0.9783,9.6091
2025,January,2,-5,0.9783,9.8017
2025,January,2,-4,0.9783,9.9915
2025,January,2,-3,0.9783,10.1847
2025,January,2,-2,0.9783,10.3908
2025,January,2,-1,0.9783,10.5974
2025,January,2,0,0.9783,10.7982
2025,January,2,1,0.9783,11.01
2025,January,2,2,0.9783,11.2327
2025,January,2,3,0.9783,11.4462
2025,January,2,4,0.9783,11.6714
2025,January,2,5,0.9783,11.893
2025,January,2,6,0.9783,12.1283
2025,January,2,7,0.9783,12.3568
2025,January,2,8,0.9783,12.5993
